sex,cohort,x,qx,lx,dx,Lx,Tx,ex
m,1965,79,0.03987,56152,2239,55033,572328,10.19
m,1965,80,0.043287,53914,2334,52747,517295,9.59
m,1965,81,0.047554,51580,2453,50353,464549,9.01
m,1965,82,0.05309,49127,2608,47823,414195,8.43
m,1965,83,0.060229,46519,2802,45118,366372,7.88
m,1965,84,0.068816,43717,3008,42213,321254,7.35
m,1965,85,0.078489,40709,3195,39111,279041,6.85
m,1965,86,0.088899,37513,3335,35846,239930,6.4
m,1965,87,0.099813,34179,3411,32473,204084,5.97
m,1965,88,0.111148,30767,3420,29057,171611,5.58
m,1965,89,0.122976,27347,3363,25666,142554,5.21
m,1965,90,0.13542,23984,3248,22360,116888,4.87
m,1965,91,0.148641,20736,3082,19195,94528,4.56
m,1965,92,0.162808,17654,2874,16217,75333,4.27
m,1965,93,0.178072,14780,2632,13464,59116,4
m,1965,94,0.194579,12148,2364,10966,45652,3.76
m,1965,95,0.210749,9784,2062,8753,34686,3.55
m,1965,96,0.226239,7722,1747,6849,25933,3.36
m,1965,97,0.240694,5975,1438,5256,19084,3.19
m,1965,98,0.253758,4537,1151,3961,13828,3.05
m,1965,99,0.265092,3386,898,2937,9866,2.91
m,1965,100,0.276937,2488,689,2144,6930,2.79
m,1965,101,0.289315,1799,521,1539,4786,2.66
m,1965,102,0.302252,1279,386,1085,3247,2.54
m,1965,103,0.315772,892,282,751,2162,2.42
m,1965,104,0.329903,610,201,510,1410,2.31
m,1965,105,0.344672,409,141,339,901,2.2
m,1965,106,0.360108,268,97,220,562,2.1
m,1965,107,0.376241,172,65,139,342,2
m,1965,108,0.393104,107,42,86,203,1.9
m,1965,109,0.410729,65,27,52,117,1.8
m,1965,110,0.429151,38,16,30,66,1.71
m,1965,111,0.448407,22,10,17,36,1.63
m,1965,112,0.468534,12,6,9,19,1.54
m,1965,113,0.489573,6,3,5,9,1.46
m,1965,114,0.511565,3,2,2,5,1.38
m,1965,115,0.534554,2,1,1,2,1.31
m,1965,116,0.558584,1,0,1,1,1.24
m,1965,117,0.583704,0,0,0,0,1.17
m,1965,118,0.609964,0,0,0,0,1.1
m,1965,119,0.637415,0,0,0,0,1.03
f,1965,0,0.021336,1e+05,2134,98103,8081759,80.82
f,1965,1,0.001425,97866,139,97797,7983656,81.58
f,1965,2,0.000812,97727,79,97687,7885859,80.69
